
PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------
FILE                                                            ERRORS  WARNINGS
...legalflowsuite\assets\js\accessibility-scanner\admin.min.js  1       0
...-legalflowsuite\assets\js\blocks\embed-placeholder-block.js  146     7
...ugins\shahi-legalflowsuite\config\multisite-sync-schema.php  18      0
...t\plugins\shahi-legalflowsuite\config\stage-1-constants.php  62      1
...a\wp-content\plugins\shahi-legalflowsuite\config\themes.php  44      0
...ahi-legalflowsuite\includes\Admin\AccessibilityMainPage.php  0       2
...\shahi-legalflowsuite\includes\Admin\ComplianceMainPage.php  0       2
...egalflowsuite\includes\Admin\Document_Editor_Controller.php  0       2
...lugins\shahi-legalflowsuite\includes\Admin\DSR_Settings.php  1       1
...plugins\shahi-legalflowsuite\includes\Admin\DSRMainPage.php  0       2
...ns\shahi-legalflowsuite\includes\Admin\DSRRequestDetail.php  19      5
...plugins\shahi-legalflowsuite\includes\Admin\MenuManager.php  3       3
...ins\shahi-legalflowsuite\includes\Admin\ModuleDashboard.php  61      0
...ent\plugins\shahi-legalflowsuite\includes\Admin\Modules.php  0       4
...alflowsuite\includes\Admin\Network_Compliance_Dashboard.php  2       0
...\plugins\shahi-legalflowsuite\includes\Admin\Onboarding.php  16      13
...gins\shahi-legalflowsuite\includes\Admin\Profile_Wizard.php  0       4
...nt\plugins\shahi-legalflowsuite\includes\Admin\Settings.php  125     12
...lugins\shahi-legalflowsuite\includes\Admin\ThemeManager.php  8       0
...\plugins\shahi-legalflowsuite\includes\Ajax\AjaxHandler.php  6       0
...lugins\shahi-legalflowsuite\includes\Ajax\AnalyticsAjax.php  34      14
...ahi-legalflowsuite\includes\Ajax\Compliance_Export_Ajax.php  0       10
...lugins\shahi-legalflowsuite\includes\Ajax\DashboardAjax.php  6       11
...t\plugins\shahi-legalflowsuite\includes\Ajax\ModuleAjax.php  28      4
...ugins\shahi-legalflowsuite\includes\Ajax\OnboardingAjax.php  27      4
...plugins\shahi-legalflowsuite\includes\Ajax\SettingsAjax.php  24      4
...s\shahi-legalflowsuite\includes\API\AnalyticsController.php  15      19
...hahi-legalflowsuite\includes\API\Config_REST_Controller.php  15      2
...i-legalflowsuite\includes\API\Consent_Export_Controller.php  5       0
...hahi-legalflowsuite\includes\API\Consent_Log_Controller.php  6       0
...ahi-legalflowsuite\includes\API\Consent_REST_Controller.php  29      0
...hahi-legalflowsuite\includes\API\Cookie_REST_Controller.php  1       0
...lugins\shahi-legalflowsuite\includes\API\DSR_Controller.php  31      0
...s\shahi-legalflowsuite\includes\API\Geo_REST_Controller.php  3       0
...ins\shahi-legalflowsuite\includes\API\ModulesController.php  0       1
...\shahi-legalflowsuite\includes\API\OnboardingController.php  0       3
...hi-legalflowsuite\includes\API\Settings_REST_Controller.php  25      0
...ns\shahi-legalflowsuite\includes\API\SettingsController.php  1       2
...gins\shahi-legalflowsuite\includes\API\SystemController.php  0       4
...gins\shahi-legalflowsuite\includes\CLI\FixEngineCommand.php  32      25
...gins\shahi-legalflowsuite\includes\CLI\MigrationCommand.php  3       0
...ntent\plugins\shahi-legalflowsuite\includes\Core\Assets.php  5       5
...t\plugins\shahi-legalflowsuite\includes\Core\Autoloader.php  2       1
...\plugins\shahi-legalflowsuite\includes\Core\Deactivator.php  0       2
...ontent\plugins\shahi-legalflowsuite\includes\Core\Hooks.php  1       0
...content\plugins\shahi-legalflowsuite\includes\Core\I18n.php  1       0
...ntent\plugins\shahi-legalflowsuite\includes\Core\Plugin.php  2       1
...t\plugins\shahi-legalflowsuite\includes\Core\test-hooks.php  2       3
...lugins\shahi-legalflowsuite\includes\Core\Theme_Manager.php  2       0
...s\shahi-legalflowsuite\includes\Database\DatabaseHelper.php  27      22
...s\shahi-legalflowsuite\includes\Database\QueryOptimizer.php  33      29
...base\Migrations\migration_2025_12_20_consent_logs_table.php  2       3
...\Database\Migrations\migration_2025_12_20_consent_table.php  2       3
...Database\Migrations\migration_2025_12_20_dsr_logs_table.php  2       3
...base\Migrations\migration_2025_12_20_dsr_requests_table.php  2       3
...abase\Migrations\migration_2025_12_20_form_issues_table.php  2       3
...\Migrations\migration_2025_12_20_form_submissions_table.php  2       3
...Database\Migrations\migration_2025_12_20_trackers_table.php  2       3
...\Database\Migrations\migration_2025_12_20_vendors_table.php  2       3
...Migrations\migration_2025_12_22_add_geo_rule_to_consent.php  20      44
...\includes\Database\Migrations\Migration_Company_Profile.php  1       5
...hahi-legalflowsuite\includes\Database\Migrations\Runner.php  2       4
...cludes\Database\Repositories\Company_Profile_Repository.php  9       7
...suite\includes\Database\Repositories\Consent_Repository.php  31      3
...includes\Database\Repositories\DSR_Audit_Log_Repository.php  25      15
...ins\shahi-legalflowsuite\includes\Helpers\Locale_Helper.php  8       2
...gins\shahi-legalflowsuite\includes\Models\Consent_Model.php  8       0
...ins\shahi-legalflowsuite\includes\Modules\ModuleManager.php  4       2
...s\shahi-legalflowsuite\includes\Modules\Security_Module.php  2       0
...ludes\Modules\AccessibilityScanner\ConsentUxAutoScanner.php  13      1
...\includes\Modules\AccessibilityScanner\ConsentUxChecker.php  16      0
...ncludes\Modules\AccessibilityScanner\UnifiedFixerRouter.php  19      1
...dules\AccessibilityScanner\Admin\AccessibilityDashboard.php  9       0
...odules\AccessibilityScanner\Admin\AccessibilitySettings.php  13      42
...uite\includes\Modules\AccessibilityScanner\AI\AIService.php  7       1
...ilityScanner\Compliance\AccessibilityStatementGenerator.php  5       0
...es\Modules\AccessibilityScanner\FixEngine\AbstractFixer.php  25      0
